"changerate","lastmin","lastmax","valmax","valmin","changepercent","degree"
650,4073,4775,51837208685,3679951001,14,2
2270,0,10240,48908272400,0,23,3
-180,0,7470,317555750690,0,-3,-1
820,0,6900,101452227350,0,12,2
-6220,18300,19160,27437964020,2883457610,-33,-3
1360,0,5770,22110971930,0,24,3
-720,11510,11850,33576785440,3698868580,-6,-1
-98,3725,4260,18363859997,250288158,-3,-1
1700,68200,72500,192782654100,29451405250,2,1
-1350,6850,7850,478070358810,6178092290,-19,-2
193,1374,1656,38360660872,2240163715,13,2
122,0,3192,51873372035,0,4,1
1280,0,20930,49602228570,0,6,1
6960,57280,58500,62286358450,6287920200,12,2
-1690,0,17960,13000000000,0,-11,-2
386,1833,2100,56973791080,4447323722,20,3
-2660,5590,6050,11340821090,1003442310,-47,-3
970,11380,11900,54279578800,2306189430,8,1
-130,34270,39760,392387833800,76152129870,-1,-1
1940,9440,11100,131590396100,7022077090,18,2
2900,21150,25100,57114838100,5211597100,13,2
9760,37690,46860,157336271010,2898184400,22,3
-2690,12290,14190,18501611500,9952630,-21,-3
2150,24400,26850,266371562300,26616075550,8,1
1540,0,10110,38700930490,0,16,2
358,1784,2077,63934408591,16139780296,18,2
78950,170900,218350,20705200900,906500,39,3
320,1770,2079,126329180771,11537362622,16,2
414,1970,2358,44843988494,2837755848,19,2
50,13460,14590,158492463340,65305055630,0,-1
668,3807,4439,29918566901,3072859527,15,2
-3120,9930,10640,20066209620,1516944850,-30,-3
-2440,0,16370,8127646990,0,-16,-2
3880,66990,78700,40755776670,4372197100,4,1
19470,0,26350,5138143150,0,76,3
305,1418,1620,13041484668,3102385976,20,2
488,1008,1407,62969938933,4583595086,41,3
650,11760,12990,26780391210,3099009370,5,1
-1060,5890,6830,87742376410,4050813400,-17,-2
140,2821,3130,49041093385,4945534739,4,1
-1660,0,13320,43161966900,0,-13,-2
59,2320,2469,19074161142,573977093,2,1
390,0,6790,159076027670,0,5,1
-3340,10040,13110,207202528450,3043939460,-29,-3
-3500,94860,103400,151303279100,20383744980,-4,-1
-1170,6600,7010,15694284180,626329700,-17,-2
95,2305,2420,100199526061,20559065021,4,1
-250,30350,31900,194169909840,41147119030,-1,-1
3,3326,3470,56333790576,1554513423,0,1
2630,11970,13450,25225045860,3617248750,21,3
-370,6130,6380,20345773020,2530886500,-6,-1
214,1130,1276,41856214949,9570244259,17,2
321,1897,2336,535176912237,14681831508,16,2
3800,33550,36800,61787348600,4741045350,11,2
830,0,6600,236065960890,0,13,2
-3120,23050,23910,17383538980,328820190,-14,-2
211,0,2700,23044314670,0,8,1
8370,29340,34320,28462429660,1537816040,25,3
39400,63100,73450,4886911200,101219200,60,3
2090,12310,15690,47408099200,2305958470,15,2
498,3688,4295,41561228394,2926560485,12,2
-5430,0,13200,19023437530,0,-46,-3
